project,approach,iter,dep_num,history_num,input_file,train_size,test_size,epoch_num,loss,tp,fp,tn,fn,random_precision,precision,recall,f1,auc,accuracy
accumulo,my,3,0,5,Dataset/accumulo_500_concatenated.csv,7368,1081,400,0.6364430785179138,480,339,199,63,0.5023126734505088,0.5860805860805861,0.8839779005524862,0.7048458149779735,0.6269331881944586,0.6281221091581869
accumulo,my,3,0,6,Dataset/accumulo_500_concatenated.csv,8114,1081,400,0.6734330654144287,525,498,40,18,0.5023126734505088,0.5131964809384164,0.9668508287292817,0.6704980842911877,0.5206001355542319,0.5226641998149861
accumulo,my,3,0,7,Dataset/accumulo_500_concatenated.csv,10088,1081,400,0.6546503007411957,526,439,99,17,0.5023126734505088,0.5450777202072539,0.9686924493554327,0.6976127320954907,0.5763536596219543,0.5781683626271971
accumulo,my,3,0,8,Dataset/accumulo_500_concatenated.csv,12258,1081,400,0.6314505934715271,534,491,47,9,0.5023126734505088,0.5209756097560976,0.9834254143646409,0.681122448979592,0.53539300458009,0.5374653098982424
accumulo,my,3,0,9,Dataset/accumulo_500_concatenated.csv,11070,1081,400,0.5862484276294708,721,283,42,35,0.6993524514338575,0.7181274900398407,0.9537037037037037,0.8193181818181818,0.5414672364672365,0.7058279370952821
accumulo,my,3,0,10,Dataset/accumulo_500_concatenated.csv,12504,1081,400,0.6021742820739746,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,3,0,11,Dataset/accumulo_500_concatenated.csv,13824,1081,400,0.5971081852912903,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,3,0,12,Dataset/accumulo_500_concatenated.csv,13968,1081,400,0.5751163959503174,541,161,164,215,0.6993524514338575,0.7706552706552706,0.7156084656084656,0.7421124828532236,0.6101119251119251,0.6521739130434783
accumulo,my,3,0,13,Dataset/accumulo_500_concatenated.csv,14358,1081,400,0.5840222239494324,754,320,5,2,0.6993524514338575,0.702048417132216,0.9973544973544973,0.8240437158469945,0.5063695563695563,0.7021276595744681
accumulo,my,4,0,1,Dataset/accumulo_500_concatenated.csv,1328,1081,400,0.48707494139671326,673,215,110,83,0.6993524514338575,0.7578828828828829,0.8902116402116402,0.8187347931873479,0.6143365893365893,0.7243293246993524
accumulo,my,4,0,2,Dataset/accumulo_500_concatenated.csv,2422,1081,400,0.6931233406066895,543,538,0,0,0.5023126734505088,0.5023126734505088,1.0,0.6687192118226601,0.5,0.5023126734505088
accumulo,my,4,0,3,Dataset/accumulo_500_concatenated.csv,4222,1081,400,0.4941309094429016,56,13,703,309,0.33765032377428306,0.8115942028985508,0.15342465753424658,0.25806451612903225,0.5676341164766205,0.7021276595744681
accumulo,my,4,0,4,Dataset/accumulo_500_concatenated.csv,5026,1081,400,0.6347296833992004,331,113,425,212,0.5023126734505088,0.7454954954954955,0.6095764272559853,0.6707193515704155,0.6997696262673979,0.6993524514338575
accumulo,my,4,0,5,Dataset/accumulo_500_concatenated.csv,7368,1081,400,0.6829305291175842,329,183,355,214,0.5023126734505088,0.642578125,0.6058931860036832,0.6236966824644551,0.6328722435594625,0.6327474560592045
accumulo,my,4,0,6,Dataset/accumulo_500_concatenated.csv,8114,1081,400,0.6176160573959351,476,298,240,67,0.5023126734505088,0.6149870801033591,0.8766114180478821,0.7228549734244495,0.6613540361614876,0.6623496762257169
accumulo,my,4,0,7,Dataset/accumulo_500_concatenated.csv,10088,1081,400,0.6931853294372559,0,0,538,543,0.5023126734505088,0.0,0.0,0.0,0.5,0.4976873265494912
accumulo,my,4,0,8,Dataset/accumulo_500_concatenated.csv,12258,1081,400,0.6931450664997101,543,538,0,0,0.5023126734505088,0.5023126734505088,1.0,0.6687192118226601,0.5,0.5023126734505088
accumulo,my,4,0,9,Dataset/accumulo_500_concatenated.csv,11070,1081,400,0.5969803333282471,752,314,11,4,0.6993524514338575,0.7054409005628518,0.9947089947089947,0.8254665203073545,0.5142775742775743,0.7058279370952821
accumulo,my,4,0,10,Dataset/accumulo_500_concatenated.csv,12504,1081,400,0.6807988882064819,753,302,23,3,0.6993524514338575,0.7137440758293839,0.996031746031746,0.8315847598012148,0.5334004884004884,0.7178538390379279
accumulo,my,4,0,11,Dataset/accumulo_500_concatenated.csv,13824,1081,400,0.5930942296981812,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,4,0,12,Dataset/accumulo_500_concatenated.csv,13968,1081,400,0.6115013360977173,755,318,7,1,0.6993524514338575,0.7036346691519105,0.9986772486772487,0.825587752870421,0.5101078551078552,0.7049028677150786
accumulo,my,4,0,13,Dataset/accumulo_500_concatenated.csv,14358,1081,400,0.6449298858642578,756,325,0,0,0.6993524514338575,0.6993524514338575,1.0,0.8230811105062601,0.5,0.6993524514338575
accumulo,my,5,0,1,Dataset/accumulo_500_concatenated.csv,1328,1081,400,0.5164270997047424,398,60,265,358,0.6993524514338575,0.868995633187773,0.5264550264550265,0.655683690280066,0.6709198209198209,0.6133209990749307
accumulo,my,5,0,2,Dataset/accumulo_500_concatenated.csv,2422,1081,400,0.6320425271987915,266,81,457,277,0.5023126734505088,0.7665706051873199,0.48987108655616945,0.597752808988764,0.6696567328691628,0.6688251618871416
